age,credit_group,estimate,std_error,conf_low,conf_high,gradient
41,women-coded,0.0387264330896889,0.0014226880031502,0.0359379646035145,0.0415149015758632,0.0367296008058885|0.0367296008058885|0.0123931686308338|0.0180666638129322|0.00734641176953767|-0.00107664340741519|0.00672151881089534|0.0132593027230827|-0.000357178273688114|0.972978187500226|0.0498737881960868|0.0123931686308338|0.0180666638129322|0.00734641176953767|-0.00107664340741519
42,men-coded,0.0343484299502426,0.00103527208541879,0.0323192966628218,0.0363775632376634,0.0327742425362924|0|0.00940276379730704|0.0166599750095231|0.00710822505941606|-0.000396721329953742|0.00599735658135031|0.011830400813386|-0.00032210887137444|0.868622557468553|0.0444562960562397|0|0|0|0
42,women-coded,0.033889366845618,0.00131914026145978,0.0313038519331569,0.0364748817580792,0.0323566362697736|0.0323566362697736|0.00928295467952183|0.0164476951999647|0.0070176527349649|-0.000391666344677823|0.0059209040865636|0.0116795521585802|-0.000318356660418123|0.857598519516794|0.0438850191836865|0.00928295467952183|0.0164476951999647|0.0070176527349649|-0.000391666344677823
43,men-coded,0.0301538093063128,0.000967886002667019,0.0282567527410855,0.0320508658715402,0.0289381609329597|0|0.00699395831678627|0.0149467858908908|0.00672765330650657|0.000269763418776063|0.00529510550412338|0.0104448277754318|-0.000287288744899602|0.767313073539522|0.039213568196702|0|0|0|0
43,women-coded,0.0293804925528496,0.00126461117970307,0.0269018546406316,0.0318591304650676,0.0282259644443452|0.0282259644443452|0.00682183015127253|0.0145789308481247|0.00656207916817033|0.000263124276777577|0.00516473554454041|0.0101876118936039|-0.000280737420294655|0.748493419649986|0.0382414307020707|0.00682183015127253|0.0145789308481247|0.00656207916817033|0.000263124276777577
44,men-coded,0.026149349479266,0.000929555299858574,0.0243274210915432,0.0279712778669888,0.0252333623112987|0|0.00508440830514952|0.0130428591980298|0.00622966098697432|0.000876433821145005|0.00461695757676354|0.0091068961057725|-0.000252914985767017|0.669377816143265|0.0341606614311844|0|0|0|0
44,women-coded,0.025245454556059,0.00126553445193342,0.0227650070302695,0.0277259020818485,0.0243913227050165|0.0243913227050165|0.00491474113536736|0.0126076177946682|0.00602177663054061|0.000847187144440376|0.00446283542726285|0.00880283671787038|-0.000245001244418358|0.647106139726018|0.0330136195851005|0.00491474113536736|0.0126076177946682|0.00602177663054061|0.000847187144440376
45,men-coded,0.0224141467611822,0.000919989801369522,0.020610966750498,0.0242173267718665,0.0217399262859793|0|0.00360941810385578|0.0110858215019207|0.00565563205240943|0.00138905462779347|0.00397756253646249|0.00784549434041948|-0.000219839883420954|0.576947306305884|0.029405177451755|0|0|0|0
45,women-coded,0.0215098247187201,0.00130378151265149,0.0189544129539232,0.024065236483517,0.0208886369649194|0.0208886369649194|0.00346808096008476|0.0106517242867039|0.00543416951814291|0.00133466219998785|0.00382176262654512|0.00753814202564061|-0.000211683504857922|0.554411573701375|0.0282476729623969|0.00346808096008476|0.0106517242867039|0.00543416951814291|0.00133466219998785
46,men-coded,0.0190020726782758,0.000927106163345447,0.0171849445981188,0.0208192007584329,0.0185166911112048|0|0.0024994982491709|0.00918586454675205|0.00504315657508254|0.00178817174019935|0.00338767740928411|0.0066818271668315|-0.000188759279102385|0.491595617988429|0.0250252203095639|0|0|0|0
