credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
men-coded,overall,64,3164,2531,0.799936788874842,0.825695700064426,0.968803384603342
men-coded,overall,65,2910,2305,0.792096219931271,0.825695700064426,0.959307672147822
men-coded,overall,66,2713,2121,0.781791374861777,0.825695700064426,0.946827475062273
men-coded,overall,67,2470,1912,0.774089068825911,0.825695700064426,0.937499212803835
men-coded,overall,68,2311,1738,0.752055387278235,0.825695700064426,0.9108142227452
men-coded,overall,69,2099,1623,0.773225345402573,0.825695700064426,0.936453157431049
men-coded,overall,70,1938,1495,0.771413828689371,0.825695700064426,0.934259229676477
men-coded,overall,71,1744,1320,0.756880733944954,0.825695700064426,0.916658199728904
men-coded,overall,72,1627,1216,0.747387830362631,0.825695700064426,0.905161344917158
men-coded,overall,73,1412,1043,0.738668555240793,0.825695700064426,0.894601431475491
men-coded,overall,74,1242,904,0.727858293075684,0.825695700064426,0.881509123783607
men-coded,overall,75,1079,774,0.717330861909175,0.825695700064426,0.868759352692771
women-coded,overall,18,2607,2153,0.825853471423092,0.821556242440532,1.00523059622771
women-coded,overall,19,3125,2564,0.82048,0.821556242440532,0.998689995419747
women-coded,overall,20,3753,3138,0.836131095123901,0.821556242440532,1.01774054158492
women-coded,overall,21,4582,3828,0.835443037974684,0.821556242440532,1.01690303696421
women-coded,overall,22,5343,4476,0.837731611454239,0.821556242440532,1.01968869345531
women-coded,overall,23,6215,5237,0.842638777152052,0.821556242440532,1.02566170594589
women-coded,overall,24,7011,5808,0.828412494651262,0.821556242440532,1.00834544472617
women-coded,overall,25,7391,6121,0.828169395210391,0.821556242440532,1.00804954357137
women-coded,overall,26,7957,6597,0.829081312052281,0.821556242440532,1.00915953068459
women-coded,overall,27,8133,6729,0.82736997417927,0.821556242440532,1.00707648659752
women-coded,overall,28,8188,6759,0.825476306790425,0.821556242440532,1.00477151063724
women-coded,overall,29,7985,6621,0.829179711959925,0.821556242440532,1.00927930326078
women-coded,overall,30,8006,6572,0.820884336747439,0.821556242440532,0.999182154965926
women-coded,overall,31,7793,6445,0.827024252534326,0.821556242440532,1.00665567347836
women-coded,overall,32,7470,6138,0.821686746987952,0.821556242440532,1.00015885041179
women-coded,overall,33,7129,5869,0.823257118810492,0.821556242440532,1.00207031032338
women-coded,overall,34,6807,5542,0.814161892169825,0.821556242440532,0.990999581174454
women-coded,overall,35,6375,5253,0.824,0.821556242440532,1.00297454688216
women-coded,overall,36,6081,5035,0.82798881762868,0.821556242440532,1.00782974415609
women-coded,overall,37,5688,4694,0.825246132208158,0.821556242440532,1.00449134164773
women-coded,overall,38,5456,4532,0.830645161290323,0.821556242440532,1.0110630512925
women-coded,overall,39,5192,4324,0.832819722650231,0.821556242440532,1.01370993198985
women-coded,overall,40,4860,4070,0.837448559670782,0.821556242440532,1.01934416222441
women-coded,overall,41,4778,3975,0.831938049393052,0.821556242440532,1.01263675743206
