credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
men-coded,overall,38,24620,24620,9659,17963,0.392323314378554,0.729610073111292,0.38824020364729,1.01051697040365
men-coded,overall,39,24359,24359,9601,17770,0.394145900899052,0.729504495258426,0.38824020364729,1.01521145207601
men-coded,overall,40,23973,23973,9591,17919,0.400075084470029,0.747465899136529,0.38824020364729,1.03048339845167
men-coded,overall,41,23676,23676,9403,17702,0.397153235343808,0.747676972461565,0.38824020364729,1.02295751860005
men-coded,overall,42,23231,23231,9352,17666,0.402565537428436,0.760449399509276,0.38824020364729,1.03689812040734
men-coded,overall,43,22734,22734,8969,17214,0.394519222310196,0.757191871206123,0.38824020364729,1.01617302536914
men-coded,overall,44,22104,22104,8865,17015,0.401058631921824,0.769770177343467,0.38824020364729,1.03301674621565
men-coded,overall,45,21515,21515,8667,16767,0.402835231234023,0.779316755751801,0.38824020364729,1.03759277748575
men-coded,overall,46,20792,20792,8308,16178,0.39957676029242,0.77808772604848,0.38824020364729,1.02919985240743
men-coded,overall,47,20276,20276,8127,15744,0.400818701913592,0.776484513710791,0.38824020364729,1.03239875249429
men-coded,overall,48,19761,19761,7781,15241,0.393755376752189,0.771266636303831,0.38824020364729,1.01420556926636
men-coded,overall,49,19181,19181,7569,15023,0.394609248735728,0.783222981075022,0.38824020364729,1.01640490868438
men-coded,overall,50,18653,18653,7358,14573,0.394467377901678,0.781268428670991,0.38824020364729,1.01603948842981
men-coded,overall,51,18012,18012,7107,13882,0.394570286475683,0.770708416611148,0.38824020364729,1.01630455261698
men-coded,overall,52,17392,17392,6847,13492,0.393686752529899,0.775758969641214,0.38824020364729,1.01402881214115
men-coded,overall,53,16830,16830,6557,12953,0.389601901366607,0.769637551990493,0.38824020364729,1.00350735886321
men-coded,overall,54,16246,16246,6291,12281,0.387233780622923,0.75593992367352,0.38824020364729,0.997407731051776
men-coded,overall,55,15582,15582,5878,11599,0.377230137337954,0.744384546271339,0.38824020364729,0.971641096913966
men-coded,overall,56,14943,14943,5786,11300,0.38720471123603,0.756206919627919,0.38824020364729,0.997332856305114
men-coded,overall,57,14295,14295,5441,10585,0.380622595313047,0.740468695348024,0.38824020364729,0.980379135744624
men-coded,overall,58,13746,13746,5187,10074,0.377346137058053,0.732867743343518,0.38824020364729,0.971939880293455
men-coded,overall,59,13323,13323,4977,9489,0.373564512497185,0.712226975906328,0.38824020364729,0.962199455357187
men-coded,overall,60,12709,12709,4816,8971,0.378944055393815,0.705877724447242,0.38824020364729,0.976055678504848
men-coded,overall,61,12188,12188,4488,8393,0.368231046931408,0.688628158844765,0.38824020364729,0.94846191474271
men-coded,overall,62,11596,11596,4249,7918,0.366419454984477,0.682821662642291,0.38824020364729,0.943795752068387
men-coded,overall,63,11076,11076,3943,7337,0.355994944023113,0.66242325749368,0.38824020364729,0.916945078533209
men-coded,overall,64,10507,10507,3725,6830,0.35452555439231,0.650042828590464,0.38824020364729,0.913160334920881
men-coded,overall,65,10068,10068,3412,6264,0.338895510528407,0.622169249106079,0.38824020364729,0.872901640130728
men-coded,overall,66,9593,9593,3244,5801,0.338163244032107,0.604711768998228,0.38824020364729,0.871015523006791
men-coded,overall,67,9068,9068,2930,5349,0.32311424790472,0.589876488751654,0.38824020364729,0.832253447399962
men-coded,overall,68,8502,8502,2778,4811,0.326746647847565,0.565866854857681,0.38824020364729,0.841609510756413
men-coded,overall,69,7993,7993,2487,4370,0.311147253847116,0.546728387338922,0.38824020364729,0.80142976158592
men-coded,overall,70,7562,7562,2340,4073,0.30944194657498,0.538614123247818,0.38824020364729,0.797037359005982
men-coded,overall,71,7040,7040,2109,3597,0.299573863636364,0.5109375,0.38824020364729,0.771619891041789
men-coded,overall,72,6578,6578,1962,3213,0.298266950440864,0.488446336272423,0.38824020364729,0.768253642046393
men-coded,overall,73,6111,6111,1786,2845,0.292259859270169,0.465553919162167,0.38824020364729,0.752781027118156
men-coded,overall,74,5615,5615,1615,2616,0.287622439893143,0.465894924309884,0.38824020364729,0.740836310075821
men-coded,overall,75,5205,5205,1459,2277,0.28030739673391,0.437463976945245,0.38824020364729,0.721994770506984
men-coded,overall,76,4741,4741,1287,2034,0.271461716937355,0.429023412782114,0.38824020364729,0.699210731879726
men-coded,overall,77,4343,4343,1185,1892,0.272852866682017,0.435643564356436,0.38824020364729,0.702793951061029
men-coded,overall,78,3904,3904,1019,1603,0.261014344262295,0.410604508196721,0.38824020364729,0.672301172856953
men-coded,overall,79,3466,3466,860,1333,0.248124639353722,0.384593190998269,0.38824020364729,0.639100837632826
men-coded,overall,80,3062,3062,728,1077,0.237753102547355,0.351730894839974,0.38824020364729,0.612386610953228
women-coded,overall,19,3004,3004,1682,2949,0.559920106524634,0.981691078561917,0.387618230414928,1.44451437674968
women-coded,overall,20,4943,4943,2466,4325,0.498887315395509,0.874974711713534,0.387618230414928,1.28705844114058
women-coded,overall,21,6865,6865,3199,5504,0.46598689002185,0.801747997086672,0.387618230414928,1.20218001491579
women-coded,overall,22,9019,9019,4003,6983,0.443840780574343,0.774254351923717,0.387618230414928,1.14504619687065
women-coded,overall,23,11259,11259,4802,8408,0.426503241850964,0.746780353494982,0.387618230414928,1.10031780856749
women-coded,overall,24,13221,13221,5647,10006,0.427123515619091,0.75682626125104,0.387618230414928,1.1019180268221
women-coded,overall,25,15140,15140,6353,11311,0.419616908850727,0.747093791281374,0.387618230414928,1.08255204715615
women-coded,overall,26,16868,16868,7066,12582,0.418899691723974,0.745909414275551,0.387618230414928,1.08070172880042
women-coded,overall,27,18349,18349,7534,13553,0.410594582811052,0.738623358221156,0.387618230414928,1.05927572697375
women-coded,overall,28,19560,19560,7945,14188,0.40618609406953,0.725357873210634,0.387618230414928,1.04790245194279
women-coded,overall,29,20359,20359,8009,14431,0.393388673314013,0.708826563190726,0.387618230414928,1.01488692338569
women-coded,overall,30,20712,20712,8154,14556,0.393684820393975,0.702780996523754,0.387618230414928,1.0156509408047
